#doc name topic proportion ...
0	doc001A-dynamical-model-of-saccade-generation-in-reading-based-on-spatially-distributed-lexical-processing	9	0.5947867298578199	4	0.20853080568720378	2	0.1541864139020537	6	0.013428120063191154	1	0.007582938388625593	0	0.0069510268562401265	3	0.005371248025276461	5	0.004739336492890996	8	0.002843601895734597	7	0.001579778830963665	
1	doc002A-FeatureIntegration-Theory-of-Attention	1	0.5536238981390793	6	0.205435847208619	4	0.17531831537708129	3	0.03146425073457395	8	0.008937316356513222	5	0.008937316356513222	9	0.006611165523996082	0	0.005019588638589618	2	0.0030607247796278158	7	0.0015915768854064642	
2	doc003A-longitudinal-investigation-of-visual-event-related-potentials-in-the-first-year-of-life	8	0.570281124497992	4	0.07228915662650602	0	0.0642570281124498	2	0.060240963855421686	9	0.04417670682730924	5	0.04417670682730924	7	0.040160642570281124	6	0.040160642570281124	1	0.03614457831325301	3	0.028112449799196786	
3	doc004A-MetaAnalysis-Investigating-Factors-Underlying-Attrition-Rates-in-Infant-ERP-Studies	8	0.834024185536638	4	0.10109280257613648	1	0.016614710013360283	3	0.011099311431605632	0	0.00942071186324552	9	0.008187455037511561	5	0.005481141447706485	7	0.005412627179610154	6	0.005035798705080333	2	0.003631256209105546	
4	doc005A-model-of-saccade-generation-based-on-parallel-processing-and-competitive-inhibition	2	0.6095230158068728	4	0.21576798066505543	9	0.06711670416979193	1	0.05758813234436203	6	0.030724782620773952	3	0.0065838819901658475	5	0.004805956051893213	0	0.0039169930827568965	7	0.0024446481651248715	8	0.0015279051032030446	
5	doc006A-Model-of-Saccade-Initiation-Based-on-the-Competitive-Integration-of-Exogenous-and-Endogenous-Signals-in-the-Superior-Colliculus	2	0.7297464440321583	4	0.17006802721088435	0	0.0287569573283859	6	0.027210884353741496	1	0.017779839208410638	8	0.009121830550401978	3	0.007111935683364255	9	0.00463821892393321	5	0.0035559678416821274	7	0.002009894867037724	
6	doc007A-neurobiological-model-of-visual-attention-and-invariant-pattern-recognition-based-on-dynamic-routing-of-information	2	0.5181635309430837	4	0.25783930895751983	6	0.11253106141285055	1	0.05135486924624305	0	0.03549875754348598	3	0.007691397467755295	5	0.0055614720151461365	9	0.004733167672464797	7	0.004259850905218318	8	0.0023665838362323987	
7	doc008A-new-method-for-off-line-removal-of-ocular-artifact	0	0.3760330578512397	8	0.19008264462809918	4	0.09917355371900827	5	0.07024793388429752	6	0.049586776859504134	3	0.049586776859504134	2	0.049586776859504134	7	0.04132231404958678	1	0.04132231404958678	9	0.03305785123966942	
8	doc009A-Performance-Evaluation-of-Local-Descriptors	6	0.7852858856457418	4	0.14674130347860856	3	0.01759296281487405	0	0.015593762495002	5	0.009196321471411436	2	0.007197121151539384	9	0.0059976009596161535	8	0.005197920831667333	1	0.003998400639744102	7	0.003198720511795282	
9	doc010A-saliencybased-search-mechanism-for-overt-and-covert-shifts-of-visual-attention	6	0.44182444061962134	2	0.24991394148020654	4	0.2225473321858864	1	0.04870912220309811	0	0.014629948364888123	8	0.00585197934595525	5	0.0051635111876075735	3	0.0051635111876075735	7	0.003958691910499139	9	0.002237521514629948	
10	doc011A-Theory-of-Eye-Movements-During-Target-Acquisition	6	0.677254653894813	4	0.1595427435387674	1	0.060048798120368695	2	0.059099945779866256	9	0.01829929513826134	5	0.010121091632026026	3	0.007364901500090367	8	0.005512380263871318	0	0.0021688053497198627	7	5.873847822157961E-4	
11	doc012A-theory-of-reading-From-eye-fixations-to-comprehension	4	0.4785412757973734	9	0.35119606003752346	3	0.08231707317073171	1	0.04455909943714822	5	0.015126641651031895	7	0.010318949343339587	6	0.005863039399624765	2	0.004924953095684803	8	0.00375234521575985	0	0.003400562851782364	
12	doc013A-Time-for-Telling	3	0.7263864136701961	4	0.22612433169095292	1	0.02107139113114582	5	0.010063948002935318	9	0.005765803543348359	6	0.0037739805011007444	7	0.0022014886256421008	2	0.0016773246671558863	0	0.0015724918754586434	8	0.0013628262920641577	
13	doc014Action-mirroring-and-action-understanding-an-alternative-account	7	0.6301324503311259	4	0.2380794701986755	1	0.03774834437086093	5	0.02682119205298013	3	0.021026490066225166	2	0.02019867549668874	8	0.00695364238410596	6	0.00695364238410596	9	0.006291390728476821	0	0.005794701986754967	
14	doc015Action-Observation-and-Acquired-Motor-Skills-An-fMRI-Study-with-Expert-Dancers	7	0.5939806927881885	4	0.11896649630891538	1	0.08461101646791595	0	0.060193072118114706	2	0.044293015332197615	3	0.03691084611016468	8	0.03378762067007382	5	0.010789324247586598	6	0.009653605905735378	9	0.0068143100511073255	
15	doc016Agency-Its-role-in-mental-development	5	0.32188295165394404	4	0.27989821882951654	1	0.1475826972010178	3	0.11577608142493638	0	0.029262086513994912	2	0.026717557251908396	9	0.022900763358778626	7	0.021628498727735368	6	0.017811704834605598	8	0.01653944020356234	
16	doc017An-informationmaximization-approach-to-blind-separation-and-blind-deconvolution	0	0.5741735537190082	4	0.325	3	0.0481404958677686	2	0.015289256198347107	1	0.011983471074380166	6	0.007644628099173554	9	0.005578512396694215	8	0.005165289256198347	5	0.00371900826446281	7	0.003305785123966942	
17	doc018Attention-affects-the-recognition-of-briefly-presented-visual-stimuli-in-infants-an-ERP-study	8	0.8031600989910528	4	0.11840852845992766	0	0.03350466400152294	2	0.010470207500475918	6	0.00799543118218161	1	0.007614696363982486	9	0.0070435941366838	5	0.00533028745478774	3	0.003807348181991243	7	0.00266514372739387	
